Registre,Nom,Tipologia,Inscripció ,Capacitat,Adreça,Municipi,Districte,CP,Comarca,Telèfon,Titular,Qualificació,NIF
S10381,Centre de Dia La Calma Residencial,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2020-06-18,20,"Av. Londres, 4",Castell - Platja d'Aro,,17250,Baix Empordà,637751410,"Calma Inversalus, SL",Entitat privada d'iniciativa mercantil,B55214563
S02483,Residencia Tercera Edad Diagonal,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1994-07-18,20,"Psg.de Sant Joan, 104, 3er 2ª",Barcelona,2,08037,Barcelonès,934590392,"Residencia Tercera Edad Diagonal, S.L.",Entitat privada d'iniciativa mercantil,B60412921
S07292,Servei d'ajuda domiciliària - Consell Comarcal del Pla de l'Urgell,Servei d'ajuda a domicili,2008-12-04,0,"C.  Prat de la Riba, 1",Mollerussa,,25230,Pla d'Urgell,973711313,Consell Comarcal del Pla d'Urgell,Entitat d'iniciativa pública,P7500012E
S01436,Centre d'atenció especialitzada per a persones amb discapacitat psíquica Josep Mas i Dalmau,Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual,1991-11-04,13,"C.  Sant Martí de l'Erm, 32-34",Sant Joan Despí,,08970,Baix Llobregat,934771284,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S07570,Asociación de asistencia social - Eluzai (Banc d'aliments),Servei de suport als serveis socials bàsics ( Distribució d'aliments),2009-10-15,0,"C.  Pere Galés, 1-3",Salou,,43840,Tarragonès,977352200,null,null,null
S05108,Centre d'Atenció Especialitzada ASPROSEAT Sant Just,Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual,2002-03-20,24,"C.  Hereter, 11",Sant Just Desvern,,08960,Baix Llobregat,933714908,Fundació Privada ASPROSEAT Serveis d'Atenció Diürna,Entitat privada d'iniciativa social,G65830986
S01688,Llar de Transeünts i Centre d'Acolliment,Servei de residència temporal per a persones adultes en situació d'exclusió social,1992-07-20,16,"C.  de la Claveria, 5",Girona,,17004,Gironès,972204250,null,null,null
S01696,Centre ocupacional ASPROSEAT Cornellà,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1992-09-01,40,"Rbl.Solanes, 23",Cornellà de Llobregat,,08940,Baix Llobregat,933774450,Fundació Privada ASPROSEAT Serveis d'Atenció Diürna,Entitat privada d'iniciativa social,G65830986
S06469,CDIAP Spai Tr3s,Servei d'atenció precoç,2006-03-23,0,"C.  Tenor Vinyas, 18",Parets del Vallès,,08150,Vallès Oriental,651804090,"Spai Tr3s, SCCL",Entitat privada d'iniciativa social,F63834568
S00160,Servei d'Atenció Primària - Ajuntament de Sant Joan de Vilatorrada,Servei bàsic d'atenció social,1988-10-21,0,"C.  Major, 93",Sant Joan de Vilatorrada,,08250,Bages,938727522,Ajuntament de Sant Joan de Vilatorrada,Entitat d'iniciativa pública,P0822500E
S09808,Club Social Pallars,Servei de club social (mòdul A / mòdul B),2018-12-20,20,"C.  Major, 62, Baixos",Sort,,25560,Pallars Sobirà,696837353,Ass. Salut Mental Catalunya - Terres de Lleida Coordinadora d'Entitats de Salut Mental i Addiccions,Entitat privada d'iniciativa social,G25714791
S09985,SPALL - malalts mentals,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2019-04-05,0,"Ctr.Manresa - Santpedor Km 4.4, s/n",Santpedor,,08251,Bages,938272300,Fundació Ampans,Entitat privada d'iniciativa social,G08444671
S07161,Pis Figueres-I,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2008-06-30,6,"C.  Compositor Baro, 5, 1er 1ª",Figueres,,17600,Alt Empordà,972182506,Institut d'Assistència Sanitària,Entitat d'iniciativa pública,Q6750003C
S10393,Llar amb Suport NORD II,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2020-07-14,4,"Pça.Del Nord, 1-2, 1r 3a",Barcelona,6,08024,Barcelonès,934154617,"ARAPDIS, Associació per a la rehabilitació i adaptació de persones amb disminució de la seva capacit",Entitat privada d'iniciativa social,G58883588
S04901,Institut del Desert de Sarrià (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,2001-07-13,83,"Psg.de Santa Eulàlia, 23",Barcelona,5,08017,Barcelonès,932030989,Fundació Institut del Desert de Sarrià,Entitat privada d'iniciativa social,G08474330
S09713,Servei de les Tecnologies de Suport i Cura de l'Ajuntament de Calafell,Servei de les tecnologies de suport i cura,2018-08-20,0,"Pça.Constitució, 5",Calafell,,43820,Baix Penedès,977699009,Ajuntament de Calafell,Entitat d'iniciativa pública,P4303700A
S05119,Centre Residencial Especialitzat en Demències Vora Balís,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2002-04-04,65,"C.  Montnegre, 2-4",Sant Vicenç de Montalt,,08394,Maresme,937914869,"Vima Residencial, SL",Entitat privada d'iniciativa mercantil,B61185930
S04861,Casa familiar Mare de Déu de la Misericòrdia,Servei de residència temporal per a persones adultes en situació d'exclusió social,2001-05-22,24,"C.  Hospital, 41-43",Reus,,43201,Baix Camp,977342978,Fundació Mare de Déu de la Misericòrdia,Entitat privada d'iniciativa social,G43458397
S08453,Llar Residència Rafal,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,2012-11-20,12,"Av. de la Pau, 178",Deltebre,,43580,Baix Ebre,977059266,Fundació Privada Astres,Entitat privada d'iniciativa social,G17695768
S04078,Llar amb suport Noguera Pallaresa,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,1998-10-01,4,"C.  Noguera Pallaresa, 61, 3er 3a",Barcelona,3,08036,Barcelonès,,Fundació Malalts Mentals de Catalunya,Entitat privada d'iniciativa social,G60168853
S00658,Residència Clínico-Geriàtrica Sant Martí,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1990-06-28,67,"C.  Dr. Vilaseca, 39",Calonge,,17251,Baix Empordà,972650807,"Calonge Tercera Edat, SL",Entitat privada d'iniciativa mercantil,B55235709
S04366,Residència Sol de Tardor,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1999-09-27,21,"C.  Francesc Alegre, 24",Barcelona,7,08024,Barcelonès,932133875,"Sol de Tardor, SL",Entitat privada d'iniciativa mercantil,B61585865
S05719,Llar residència el Pont 2,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,2003-10-30,11,"C.  Pi i Margall, 20, baix 2a",Tarragona,,43007,Tarragonès,977203162,Fundació Privada Onada,Entitat privada d'iniciativa social,G43768019
S07392,Programa autonomia a la llar FUPAR (Malalts mentals),Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2009-03-26,0,"C.  Campiones Olímpiques, 36",Terrassa,,08225,Vallès Occidental,937883662,Fundació Privada President Amat Roumens,Entitat privada d'iniciativa social,G58049016
S05835,Residència Geriàtrica Maldà,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2004-03-17,20,"Pça.Homenatge a la Vellesa, 1",Maldà,,25266,Urgell,973330045,Ajuntament de Maldà,Entitat d'iniciativa pública,P2516400E
S04784,Jardí Residencial Torre Magret,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2001-02-27,44,"C.  Bonavista, 10-14",Llinars del Vallès,,08450,Vallès Oriental,938412846,"Jardí Residencial Torre Magret, SL",Entitat privada d'iniciativa mercantil,B61970018
S05631,Servei de suport Associació de Familiars de Malalts Mentals de les Terres de l'Ebre,Servei de suport social als serveis socials especialitzats,2003-07-11,0,"C.  Lleida, 1",Sant Carles de la Ràpita,,43540,Montsià,977744510,Associació de Familiars de Malalts Mentals de les Terres de l'Ebre,Entitat privada d'iniciativa social,G43552066
S07628,SAD ADECUA,Servei d'ajuda a domicili,2009-12-04,0,"C.  Mare de Deu del Pilar, 37 bis",Cerdanyola del Vallès,,08290,Vallès Occidental,935940192,"Atenció a la Dependència 4, SL (ADECUA)",Entitat privada d'iniciativa mercantil,B64822240
S07408,Centre social lúdic i cultural -Malalts mentals,Servei de club social (mòdul A / mòdul B),2009-04-08,0,"C.  Rec de Sant Agustí, 7, bxs",Puigcerdà,,17520,Cerdanya,972880106,Fundació privada ADIS,Entitat privada d'iniciativa social,G17703794
S05799,Residència Bonavista - Centre de dia,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2004-01-16,3,"C.  Bellavista, 9",Argentona,,08310,Maresme,937972353,"Laia Arquera, SL",Entitat privada d'iniciativa mercantil,B61823621
S05686,Club Social el Badiu,Servei de club social (mòdul A / mòdul B),2003-10-09,35,"Av. Dr.Bassols, 62",Badalona,,08918,Barcelonès,933888782,Salut Mental Barcelonès Nord - Associació,Entitat privada d'iniciativa social,G61392536
S05362,Servei de tuteles Vella Terra (Gent gran),Servei de tutela per a gent gran,2002-11-05,0,"C.  Pujades, 350, 6è, oficina A-1",Barcelona,10,08019,Barcelonès,937273744,Fundació Privada Vella Terra,Entitat privada d'iniciativa social,G62813233
S10617,Centro de día Orpea Girona,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2021-03-18,30,"Av. Josep Tarradellas i Joan, 19",Girona,,17006,Gironès,618897839,"Orpea Ibérica, SAU",Entitat privada d'iniciativa mercantil,A82571399
S03518,Residencia Lourdes,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1997-02-19,19,"C.  Sevilla, 28",Castelldefels,,08860,Baix Llobregat,936651440,Lourdes Mestre Gramaje,Entitat privada d'iniciativa mercantil,35037823Z
S08966,Servei de suport a l'autonomia a la propia llar Onada II,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2015-01-26,0,"c.  Riu Llobregat, 10",Tarragona,,43006,Tarragonès,977552926,Fundació Privada Onada,Entitat privada d'iniciativa social,G43768019
S09397,Residència per a gent gran Balafia II,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2017-03-08,60,C.  Vic ( Cantonada Maials),Lleida,,25005,Segrià,,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S05779,Servei per temps lliure per a malalts mentals Sol del Solsonès,Servei de club social (mòdul A / mòdul B),2003-12-18,20,"Pge.Vall Fred, 22, bxs 1ª",Solsona,,25280,Solsonès,973480827,Sol del Solsonès. Associació de Familiars de Malalts Mentals i Drogodependents,Entitat privada d'iniciativa social,G25511205
S09221,SAD Alba,Servei d'ajuda a domicili,2016-02-16,0,"Av. Onze de Setembre, s/n",Tàrrega,,25300,Urgell,973312221,Associació Alba,Entitat privada d'iniciativa social,G25014077
S06088,Servei de Programa de Suport a l'Autonomia a la Pròpia Llar Tramuntana,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,2004-11-30,0,"Pge.La Faneia, s/n",Palafrugell,,17200,Baix Empordà,972305629,Consell Comarcal del Baix Empordà,Entitat d'iniciativa pública,P6700009A
S08442,Banc dels Aliments de les Comarques de Girona,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2012-10-22,0,"C.  Palol d'Onyar, 5",Girona,,17004,Gironès,,Fundació Privada Banc dels Aliments de les Comarques de Girona,Entitat privada d'iniciativa social,G17457672
S01574,L'Alba Centre Especial - Servei de Suport,Servei de suport social als serveis socials especialitzats,1992-03-31,0,"C.  Iradier, 15",Barcelona,5,08017,Barcelonès,934183676,Associació Centre Especial L'Alba,Entitat privada d'iniciativa social,G08634669
S06467,Pis número 41,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2006-03-16,4,"C.  Rosselló, 24 Bl.D, 2on 1ª",Sant Boi de Llobregat,,08830,Baix Llobregat,936402400,Hermanas Hospitalarias Sagrado Corazón de Jesus. Benito Menni complejo asistencial en salud mental,Entitat privada d'iniciativa social,R0801946E
S06270,Servei de suport a l'autonomia a la pròpia llar Dau,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2005-06-22,0,"C.  Joan d'Àustria, 95-97, bxs",Barcelona,10,08018,Barcelonès,933000858,Fundació Privada Dau,Entitat privada d'iniciativa social,G60184348
S06935,Centre de dia de la residència de La Nativitat de Nostra Senyora,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2007-10-03,5,"C.  Buigas, 23",Barcelona,5,08017,Barcelonès,932032800,Hermanas Franciscanas Misioneras de la Natividad de Nuestra Señora - Buigas,Entitat privada d'iniciativa social,R0800390G
S05528,Creu Nova Gent Gran Centre de Dia,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2003-04-23,10,"C.  Creu Nova, 28",Corbera de Llobregat,,08757,Baix Llobregat,936505491,"Olodun, SL",Entitat privada d'iniciativa mercantil,B62746250
S07931,Centre la Marina 1,Servei experimental,2010-12-13,18,"Av. Gran Via de les Corts Catalanes, 120-126 - Local 1",Barcelona,3,08038,Barcelonès,932662023,Fundació Pere Mitjans,Entitat privada d'iniciativa social,G58580143
S02197,Centre de Dia de la Residència Santa Susanna,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1993-09-14,44,"C.  Font i Boet, 16",Caldes de Montbui,,08140,Vallès Oriental,938654994,Fundació d'Acollida Santa Susanna,Entitat privada d'iniciativa social,G67302950
S00903,Residència de persones amb discapacitat psíquica Can Ruti,Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,1990-12-05,67,"Ctr.de Can Ruti, s/n",Badalona,,08916,Barcelonès,933954406,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S07177,Servei d'orientació i suport a familiars de persones afectades per malalties mentals o transtorn,Servei de suport social als serveis socials especialitzats,2008-07-11,0,"C.  Major, 43",Sant Boi de Llobregat,,08830,Baix Llobregat,690795710,Equilibri,Entitat privada d'iniciativa social,G64376239
S10715,Menjador social del centre de dia de Magraners,Servei de menjador social,2021-07-07,10,"C.  Soldevila, 34",Lleida,,25001,Segrià,973210538,Ajuntament de Lleida,Entitat d'iniciativa pública,P2515100B
S01395,Llar-Residència per a gent gran Anna,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1991-10-17,25,"C.  Aragó, 268, 1er 2ª",Barcelona,2,08007,Barcelonès,932160167,"Centro Geriátrico Anna, S.L.",Entitat privada d'iniciativa mercantil,B60749637
S05408,Servei de suport a l'autonomia a la pròpia llar JOIA,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2002-12-12,0,"Av. Josep Tarradellas, 19-21, bxs",Barcelona,3,08029,Barcelonès,932325902,Fundació Privada Joia Joventud Organitzada i Activa,Entitat privada d'iniciativa social,G08901019
S04713,Folre Servei d'acollida,Servei de suport social als serveis socials especialitzats,2000-11-10,0,"C.  Arnús, 64",Badalona,,08912,Barcelonès,651417282,Càritas Diocesana de Barcelona,Entitat privada d'iniciativa social,R0800314G
S01257,Residència Geriàtrica Mas Vell (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,1991-05-29,27,"Pça.Mercadal, 15-17",Agramunt,,25310,Urgell,973391692,Patronat Municipal Residència Geriàtrica Mas Vell,Entitat d'iniciativa pública,G25226481
S10635,STO Sant Tomàs de Tona,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),2021-04-14,9,"C.  Jaume Balmes, 51",Tona,,08551,Osona,938816128,Fundació Sant Tomàs,Entitat privada d'iniciativa social,G66918095
S10223,Llar amb suport Rambla de Mercedes 2,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2019-11-14,2,"C.  Rambla de Mercedes, 2-4, 1er 3a",Barcelona,6,08024,Barcelonès,935537882,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,Entitat privada d'iniciativa social,G59780494
S10020,SAD Fundació Privada Mifas,Servei d'ajuda a domicili,2019-04-16,0,"Rbl.Xavier Cugat, 43",Girona,,17007,Gironès,972414041,Fundació Privada Mifas,Entitat privada d'iniciativa social,G17378704
S10341,Servei d'Atenció Domiciliària de F.A.G.A.,Servei d'ajuda a domicili,2020-04-24,0,"C.  Guifré el Pilós, 12, 2ª",Gavà,,08850,Baix Llobregat,934617120,Familiars de malalts d'alzheimer i altres demències de Gava - FAGA,Entitat privada d'iniciativa social,G61482253
S03038,Centre de Convalescència de Santa Lluïsa de Marillac,Servei de residència temporal per a persones adultes en situació d'exclusió social,1996-02-02,35,"C.  Sant Carles, 33",Barcelona,1,08003,Barcelonès,932213758,null,null,null
S09567,Atenció a persones amb discapacitat física,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat física,2018-01-16,0,"C.  Empuries, 39",Girona,,17005,Gironès,972214343,"SERSA, Serveis Socials i Administratius, SCCL",Entitat privada d'iniciativa social,F17138736
S02929,Caser Residencial Castell d'Oliana,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1995-09-15,93,Ctr.Artesa de Segre - Adrall Km.143,Oliana,,25790,Alt Urgell,973463030,"Caser Residencial, SAU",Entitat privada d'iniciativa mercantil,A81228520
S01927,SBAS 3,Servei bàsic d'atenció social,1993-01-28,0,"C.  Molí de la Torre, 91",Badalona,,08915,Barcelonès,934603039,Ajuntament de Badalona,Entitat d'iniciativa pública,P0801500J
S03713,Servei d'ajuda domiciliària Geriatria del Vallès,Servei d'ajuda a domicili,1997-09-08,0,"C.  Rosselló, 17",Sant Cugat del Vallès,,08190,Vallès Occidental,936740804,"Geriatria del Vallès, S.L.",Entitat privada d'iniciativa mercantil,B61266615
S09144,Servei de suport a l'autonomia de la pròpia llar acompanyament integral,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2015-10-08,0,"c.  Mare Molas, 18-20, bxs",Reus,,43202,Baix Camp,977344565,Associació Salut Mental Dr. Tosquelles,Entitat privada d'iniciativa social,G43497783
S05810,Servei de Residència per a persones amb disminució psíquica (Sant Nicolau),Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,2004-02-10,42,"Ctr.N-240, Km 111",Almacelles,,25100,Segrià,973740010,Sant Joan de Déu Terres de Lleida,Entitat privada d'iniciativa social,R2500280I
S07653,Pis Acollida per a les persones amb VIH/SIDA Fundació Mercè Fontanilles,Servei temporal de llar amb suport per a persones afectades pel virus VIH/SIDA (baixa/alta intensitat),2010-01-20,7,"C.  Santa Amàlia, 66-68, 1er 1ª",Barcelona,7,08031,Barcelonès,932682222,Fundació Privada Mercè Fontanilles,Entitat privada d'iniciativa social,G59978932
S10333,Servei de Suport al cuidador/a no professional de l'Associació Tiám,Servei de suport als familiars cuidadors/es i altres cuidadors/es no professionals,2020-04-22,0,"C.  de l'Escorxador, 21",Vilafranca del Penedès,,08720,Alt Penedès,693004512,Associació Tiám. Intervenció en Demències,Entitat privada d'iniciativa social,G67482174
S04200,Centre de dia de la Residència el Jardí 2000,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1999-03-10,4,"Av. Gran Via de les Corts Catalanes, 618 pral.1a-1r 1a",Barcelona,2,08007,Barcelonès,934121701,"Residència el Jardí 2000, SL",Entitat privada d'iniciativa mercantil,B61456646
S05617,Servei de suport de l'AFABBS,Servei de suport social als serveis socials especialitzats,2003-06-27,0,"C.  Flor de Lis, 33, Pral",Manresa,,08242,Bages,938772650,"Ass.de Familiars de Malalts d'Alzheimer i altres demències del Bages, Berguedà, Moianès i Solsonès",Entitat privada d'iniciativa social,G62310123
S08095,Llar residència Mar i Cel,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,2011-07-12,22,"C.  Roquetes, 48-50","Vendrell, el",,43700,Baix Penedès,977667111,"Santa Teresa del Vendrell, Fundació Privada",Entitat privada d'iniciativa social,G43392364
S04009,Centre de dia de la Residencia Loval,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1998-06-09,15,"C.  Closens, 66",Sant Andreu de Llavaneres,,08392,Maresme,937928308,"Geriàtrico Residencial Llavaneras, S.L.",Entitat privada d'iniciativa mercantil,B60232246
S01548,Centre de dia per a gent gran de Sant Cugat del Vallès,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1992-03-04,30,"C.  Santa Rosa, s/n",Sant Cugat del Vallès,,08190,Vallès Occidental,935891638,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S08378,Servei de teràpia ocupacional APRODISCA (2),Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),2012-07-06,32,"Av. de l'Alumini, 2 (Parc. C Pol. Ind. Mil.lénium)","Selva del Camp, la",,43470,Baix Camp,977861261,Associació Pro-Persones amb Disminució Psíquica de la Conca de Barberà,Entitat privada d'iniciativa social,G43069749
S04631,Llar Can Llovera - residència,Servei de centre residencial temporal o permanent per a persones amb discapacitat física,2000-07-26,36,"Psg.dels pins, 2",Sant Feliu de Llobregat,,08980,Baix Llobregat,936855390,"Llars de l'Amistat Cheshire, Fundació Privada",Entitat privada d'iniciativa social,G08593188
S01933,SBAS 6,Servei bàsic d'atenció social,1993-01-28,0,"Av. Congrés Eucarístic, 16-20",Badalona,,08918,Barcelonès,933888782,Ajuntament de Badalona,Entitat d'iniciativa pública,P0801500J
S09520,Residència Atria,Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,2017-11-30,12,"Ctr.Bellissens, s/n",Reus,,43204,Baix Camp,977390011,"Villablanca Serveis Assistencials, S.A.U.",Entitat privada d'iniciativa mercantil,A43003664
S06343,Servei de Menjador Lantus Tona,Servei de menjador social,2005-10-20,10,"C.  Dr. Bayès, 49",Tona,,08551,Osona,938870018,"Grup Lantus, SL",Entitat privada d'iniciativa social,B67183079
S03874,Residencia San José. Granollers (servei de llar residència),Servei de llar residència per a gent gran de caràcter temporal o permanent,1998-02-05,10,"C.  Sant Josep, 6",Granollers,,08401,Vallès Oriental,938703936,Congregación Hijas de San José - Residencia San José,Entitat privada d'iniciativa social,R2800240J
S05782,Residència de Salut Mental Mascaró,Servei de llar residència temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2003-12-19,38,"C.  Mascaró, 26, 1r i 2n",Barcelona,7,08032,Barcelonès,934351579,Fundació Privada Via Activa,Entitat privada d'iniciativa social,G60566668
S03094,Càritas Parroquial de Tordera,Servei de suport social als serveis socials especialitzats,1996-02-27,0,"C.  Ciutadants, 6-8",Tordera,,08399,Maresme,937640073,Càritas Diocesana de Girona,Entitat privada d'iniciativa social,R1700016G
S09262,Com les teves mans,Servei d'ajuda a domicili,2016-04-20,0,"C.  Era Enrajolada, 1, 1er 3ª",Vilafranca del Penedès,,08734,Alt Penedès,620304722,"Com les teves mans, SL",Entitat privada d'iniciativa mercantil,B66486069
S02297,Unitat Bàsica d'Atenció Social Primària. Ajuntament de Vilassar de Dalt,Servei bàsic d'atenció social,1993-12-10,0,"Pça.de la Vila, 1",Vilassar de Dalt,,08339,Maresme,937531111,Ajuntament de Vilassar de Dalt,Entitat d'iniciativa pública,P0821300A
S05761,Centre de dia per a gent gran Sa Palomera,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2003-11-26,40,"C.  Sant Vicenç Ferrer, 24",Blanes,,17300,Selva,972331588,"Cedibla, SL",Entitat privada d'iniciativa mercantil,B63262133
S03782,Servei d'ajuda domiciliària Mutuam a Casa,Servei d'ajuda a domicili,1997-10-24,0,"C.  Provença, 392, 7è",Barcelona,2,08025,Barcelonès,932479440,"Mutuam a Casa, SL",Entitat privada d'iniciativa mercantil,B61307799
S04989,Centre de dia Campoamor,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2001-10-30,15,"C.  Campoamor, 1",Barcelona,7,08031,Barcelonès,934272267,"Residencia Font Fargas, SL",Entitat privada d'iniciativa mercantil,B59165530
S01449,Residència de Gent Gran de Sant Roc (Badalona),Servei de residència assistida per a gent gran de caràcter temporal o permanent,1991-11-04,40,"Av. del Maresme, 182-190",Badalona,,08918,Barcelonès,933991711,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S09683,Marserveis,Servei d'ajuda a domicili,2018-07-10,0,"Av. Tarragona, 61","Arboç, l'",,43720,Baix Penedès,678084000,Mª del Mar Manso Raventós,Entitat privada d'iniciativa mercantil,39702809W
S10099,Centre de Dia Estic amb tu,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2019-06-28,20,"C.  Salvador Espriu, 8",Berga,,08600,Berguedà,691045174,Bouchra Dakkak,Entitat privada d'iniciativa mercantil,X4550016H
S08416,Distribució d'aliments - Iglesia Evangélica Pentecostal Misionera en España,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2012-08-29,0,"C.  Camí de Valls, 104",Reus,,43204,Baix Camp,628796417,Iglesia Evangélica Pentecostal Misionera en España,Entitat privada d'iniciativa social,R4300193B
S05556,Centre de dia Santa Clara,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2003-05-14,6,"C.  Convent, 32-34",Sabadell,,08202,Vallès Occidental,937278830,"Residència d'Avis Santa Clara, SL",Entitat privada d'iniciativa mercantil,B63769236
S09514,Pis Ptge. Misermas,Servei d'acolliment residencial d'urgència,2017-11-24,4,"Pge.Misermas, 2, baixos 1a",Manresa,,08242,Bages,938734928,Fundació del Convent de Santa Clara,Entitat privada d'iniciativa social,G65396517
S01767,Unitat Bàsica d'Atenció Social Primària. Sector 9. Sant Pere Pescador,Servei bàsic d'atenció social,1992-10-22,0,"Pça.Major, 8",Sant Pere Pescador,,17470,Alt Empordà,972520650,Consell Comarcal de l'Alt Empordà,Entitat d'iniciativa pública,P6700008C
S07870,Serveis de tutela - Malalts mentals (Fundación Intress para la integración),Servei de tutela per a persones amb malaltia mental,2010-10-20,0,"C.  Joana Raspall, 2, Bxs",Lleida,,25005,Segrià,934496009,Fundación Intress para la Integración,Entitat privada d'iniciativa social,G64049372
S04288,Residència Europalau,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1999-06-17,76,"C.  Holanda, s/n",Palau-saverdera,,17495,Alt Empordà,972552130,"Europalau, SL",Entitat privada d'iniciativa mercantil,B17526138
S08666,Servei de Distribució d'Aliments Asociación Social y Cultural Amistad y Raices,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2013-10-22,0,"c.  Evarist Fabrega, 13",Reus,,43205,Baix Camp,647925036,null,null,null
S07442,Residència Egara Llar II,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2009-05-22,43,"C.  Sant Jaume, 20",Terrassa,,08221,Vallès Occidental,937860653,"Hicamu, SL",Entitat privada d'iniciativa mercantil,B67097527
S05279,"Centre de dia Cuidem la Memòria, especialitzat en Alzheimer",Servei de centre de dia per a gent gran de caràcter temporal o permanent,2002-09-12,45,"C.  Saragossa, 58, bxs",Barcelona,5,08006,Barcelonès,932170878,"Cuidem la Memòria, SL",Entitat privada d'iniciativa mercantil,B62775960
S01718,"Llar-residència ""El Vallès""",Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,1992-09-10,8,"C.  Rosselló, 27, 1er 1ª",Granollers,,08400,Vallès Oriental,,Fundació Privada Vallès Oriental per a persones amb discapacitat intel.lectual,Entitat privada d'iniciativa social,G60249737
S05604,Centre de dia Fundació Privada Municipal Emma,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2003-06-16,16,"Ctr.de Camprodon, 9",Sant Joan de les Abadesses,,17860,Ripollès,972720095,Fundació Emma,Entitat privada d'iniciativa social,G17678673
S01104,Centre Ocupacional Sant Tomàs - Calldetenes,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1991-03-04,115,"C.  Finca Sant Tomàs, s/n",Calldetenes,,08519,Osona,938890964,Fundació Sant Tomàs,Entitat privada d'iniciativa social,G66918095
S00035,Hospital de Sant Pere,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1988-04-22,65,"Av. Santa Maria, 18-20",Vilassar de Dalt,,08339,Maresme,937539850,Patronat Hospital de Sant Pere de Vilassar de Dalt,Entitat privada d'iniciativa social,G08630261
